accepted_at,accession,cik,ticker,amendment,issuer_cik,issuer_name,issuer_trading_symbol,security_title,transaction_date,transaction_code,acquired_disposed_code,shares,price_per_share,purchase_value,reporting_owners,eligible_insider,record_key,filing_datetime,insider_name,company_name,drop_reason
2026-09-01 01:00:06,0001214659-26-011255,0001734770,GPUS,False,0000896493,"Hyperscale Data, Inc.",GPUS,Class A Common Stock,2026-08-27,P,A,10000.0,0.3358,3358.0,"[{""cik"": ""0001212502"", ""name"": ""AULT MILTON C III"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Executive Chairman""}, {""cik"": ""0001734770"", ""name"": ""Ault & Company, Inc."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,ee81783b916593e4699cf97da800d49120ad371adcff29a7b224b51761e23c0f,2026-09-01 01:00:06,"AULT MILTON C III; Ault & Company, Inc.","Hyperscale Data, Inc.",below_min_purchase_value
2026-09-01 01:00:06,0001214659-26-011255,0001734770,GPUS,False,0000896493,"Hyperscale Data, Inc.",GPUS,Class A Common Stock,2026-08-28,P,A,47641.0,0.307,14625.787,"[{""cik"": ""0001212502"", ""name"": ""AULT MILTON C III"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Executive Chairman""}, {""cik"": ""0001734770"", ""name"": ""Ault & Company, Inc."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,8ccb98e9d3b8b4f74907392d92824d0070e72fbf5d88e4bf58ad6a3d50ce99c8,2026-09-01 01:00:06,"AULT MILTON C III; Ault & Company, Inc.","Hyperscale Data, Inc.",below_min_purchase_value
2026-09-01 01:00:06,0001214659-26-011255,0001734770,GPUS,False,0000896493,"Hyperscale Data, Inc.",GPUS,Class A Common Stock,2026-08-28,P,A,150000.0,0.2967,44505.0,"[{""cik"": ""0001212502"", ""name"": ""AULT MILTON C III"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Executive Chairman""}, {""cik"": ""0001734770"", ""name"": ""Ault & Company, Inc."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,219853ed3a78ad6190d43be459af8c65d59269cfd58de758ce06dcce5d6da811,2026-09-01 01:00:06,"AULT MILTON C III; Ault & Company, Inc.","Hyperscale Data, Inc.",below_min_purchase_value
2026-09-01 01:00:06,0001214659-26-011255,0001734770,GPUS,False,0000896493,"Hyperscale Data, Inc.",GPUS,Class A Common Stock,2026-08-31,P,A,89000.0,0.2703,24056.7,"[{""cik"": ""0001212502"", ""name"": ""AULT MILTON C III"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""Executive Chairman""}, {""cik"": ""0001734770"", ""name"": ""Ault & Company, Inc."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,9d2b04cb58cda4dd2593f71e773128934b66c4010bf4c50ae801b644d9710139,2026-09-01 01:00:06,"AULT MILTON C III; Ault & Company, Inc.","Hyperscale Data, Inc.",below_min_purchase_value
2026-09-01 00:30:41,0001493152-26-040906,0001534107,BRID,False,0000014177,BRIDGFORD FOODS CORP,BRID,Common Stock $1.00 P.V.,2026-08-26,P,A,1000.0,6.2,6200.0,"[{""cik"": ""0001534107"", ""name"": ""Bridgford Allan Jr."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": true, ""officer_title"": null}]",False,87092e010ac5dee9f10655f8623b30847fe1673b15436b49bb854071b63b031a,2026-09-01 00:30:41,Bridgford Allan Jr.,BRIDGFORD FOODS CORP,below_min_purchase_value
2026-09-01 00:30:28,0001493152-26-040905,0001299715,BRID,False,0000014177,BRIDGFORD FOODS CORP,BRID,Common Stock $1.00 P.V.,2026-08-28,P,A,473.0,6.15,2908.95,"[{""cik"": ""0001299715"", ""name"": ""Bridgford Baron"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": true, ""officer_title"": null}]",False,a54f1be7a214d4e5b6eba360ecd0cf1815edc9935a5282b83dceb7451e423177,2026-09-01 00:30:28,Bridgford Baron,BRIDGFORD FOODS CORP,below_min_purchase_value
2026-09-01 00:16:05,0001193125-26-377253,0001334936,BJRI,False,0001013488,BJs RESTAURANTS INC,BJRI,Common Stock,2026-08-31,P,A,753.0,63.25,47627.25,"[{""cik"": ""0001334936"", ""name"": ""Richmond C Bradford"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,cfd62cc982aae665096130a2cc1adeae70c9c2770fb8344c0a8a603a1cf701d2,2026-09-01 00:16:05,Richmond C Bradford,BJs RESTAURANTS INC,below_min_purchase_value
2026-09-01 00:00:09,0001214659-26-011250,0001212502,UUU,False,0000102109,"UNIVERSAL SAFETY PRODUCTS, INC.",UUU,Common Stock,2026-08-27,P,A,5000.0,6.0172,30086.0,"[{""cik"": ""0001212502"", ""name"": ""AULT MILTON C III"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,a5921c48d1802e8c5e68a9d165a6d162283640d27cfcd15f34c69ef9b936d3bf,2026-09-01 00:00:09,AULT MILTON C III,"UNIVERSAL SAFETY PRODUCTS, INC.",below_min_purchase_value
2026-09-01 00:00:09,0001214659-26-011250,0001212502,UUU,False,0000102109,"UNIVERSAL SAFETY PRODUCTS, INC.",UUU,Common Stock,2026-08-27,P,A,300.0,5.78,1734.0,"[{""cik"": ""0001212502"", ""name"": ""AULT MILTON C III"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,8cd0c7d58abe3cf37a9b95d89f510570540de8c5a09bf40785c730972a2a36de,2026-09-01 00:00:09,AULT MILTON C III,"UNIVERSAL SAFETY PRODUCTS, INC.",below_min_purchase_value
2026-09-01 00:00:09,0001214659-26-011250,0001212502,UUU,False,0000102109,"UNIVERSAL SAFETY PRODUCTS, INC.",UUU,Common Stock,2026-08-28,P,A,10000.0,5.1604,51604.0,"[{""cik"": ""0001212502"", ""name"": ""AULT MILTON C III"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,87fb5049ab685eed2915b0b27d94d0d0131543537532228180b5fe24cf2575ab,2026-09-01 00:00:09,AULT MILTON C III,"UNIVERSAL SAFETY PRODUCTS, INC.",below_min_purchase_value
