title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag,xml_url,sha256,status,parsed_records
4 - Stellus Capital Investment Corp (0001551901) (Issuer),4,2026-06-26 01:30:30,0001104659-26-077908,0001551901,4 - Stellus Capital Investment Corp (0001551901) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1551901/000110465926077908,https://www.sec.gov/Archives/edgar/data/1551901/000110465926077908/0001104659-26-077908-index.htm,False,https://www.sec.gov/Archives/edgar/data/1551901/000110465926077908/tm2619013-1_4seq1.xml,2f2d685834d21d98f6bff9bd30ad4b461b9d4779371f7ed9f9e416d8c284917d,parsed,3
4 - Accelerant Holdings (0001997350) (Issuer),4,2026-06-26 01:24:06,0001628280-26-045640,0001997350,4 - Accelerant Holdings (0001997350) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1997350/000162828026045640,https://www.sec.gov/Archives/edgar/data/1997350/000162828026045640/0001628280-26-045640-index.htm,False,https://www.sec.gov/Archives/edgar/data/1997350/000162828026045640/wk-form4_1782437040.xml,c823b3dd62d9c6f9ef60053a90f95f849b35b5cec64734753c59f38cd8935703,parsed,0
4 - Mountain Crest Acquisition 6 Corp. (0002109876) (Issuer),4,2026-06-26 01:20:47,0001829126-26-006888,0002109876,4 - Mountain Crest Acquisition 6 Corp. (0002109876) (Issuer),,,https://www.sec.gov/Archives/edgar/data/2109876/000182912626006888,https://www.sec.gov/Archives/edgar/data/2109876/000182912626006888/0001829126-26-006888-index.htm,False,https://www.sec.gov/Archives/edgar/data/2109876/000182912626006888/ownership.xml,eb86718e4e29cb51d6764c647a6e61ca022477a799204650b145c99f68f9935c,parsed,0
4 - Mountain Crest Holdings 6 LLC (0002116124) (Reporting),4,2026-06-26 01:20:29,0001829126-26-006887,0002116124,4 - Mountain Crest Holdings 6 LLC (0002116124) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2116124/000182912626006887,https://www.sec.gov/Archives/edgar/data/2116124/000182912626006887/0001829126-26-006887-index.htm,False,https://www.sec.gov/Archives/edgar/data/2116124/000182912626006887/ownership.xml,659132235d2654c34fdcc9d94c33067b0380af6acb20125b1e2081b674316553,parsed,0
4 - Hungate Alexander Charles (0002026373) (Reporting),4,2026-06-26 01:14:36,0002026373-26-000005,0002026373,4 - Hungate Alexander Charles (0002026373) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2026373/000202637326000005,https://www.sec.gov/Archives/edgar/data/2026373/000202637326000005/0002026373-26-000005-index.htm,False,https://www.sec.gov/Archives/edgar/data/2026373/000202637326000005/wk-form4_1782436471.xml,015e313f8934b6d10f93ff01fd9df4f0df96cee69d538bb70af0435cc383722a,parsed,0
4 - Navios Maritime Partners L.P. (0001415921) (Issuer),4,2026-06-26 01:10:06,0001193125-26-283332,0001415921,4 - Navios Maritime Partners L.P. (0001415921) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1415921/000119312526283332,https://www.sec.gov/Archives/edgar/data/1415921/000119312526283332/0001193125-26-283332-index.htm,False,https://www.sec.gov/Archives/edgar/data/1415921/000119312526283332/ownership.xml,f2f3bcc9a958a0f65c241cbb16b594750835e373c4b600b16d79f0306668df4b,parsed,3
4 - DiLiberto Matthew J. (0001629731) (Reporting),4,2026-06-26 00:57:10,0001629731-26-000008,0001629731,4 - DiLiberto Matthew J. (0001629731) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1629731/000162973126000008,https://www.sec.gov/Archives/edgar/data/1629731/000162973126000008/0001629731-26-000008-index.htm,False,https://www.sec.gov/Archives/edgar/data/1629731/000162973126000008/form4-06262026_120606.xml,f96a0e350abf4ddf0d39e5a3867731914f8f7e7eec63f8407c86bd1e8fb5f1f2,parsed,0
4 - HOLLIDAY MARC (0001216194) (Reporting),4,2026-06-26 00:56:25,0001216194-26-000006,0001216194,4 - HOLLIDAY MARC (0001216194) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1216194/000121619426000006,https://www.sec.gov/Archives/edgar/data/1216194/000121619426000006/0001216194-26-000006-index.htm,False,https://www.sec.gov/Archives/edgar/data/1216194/000121619426000006/form4-06262026_120621.xml,add819e0c50707c0b1950dca89fa53cce4a76d14d4eb0371c843b230c49292e5,parsed,0
"4 - Clear Secure, Inc. (0001856314) (Issuer)",4,2026-06-26 00:43:46,0001466453-26-000008,0001856314,"4 - Clear Secure, Inc. (0001856314) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1856314/000146645326000008,https://www.sec.gov/Archives/edgar/data/1856314/000146645326000008/0001466453-26-000008-index.htm,False,https://www.sec.gov/Archives/edgar/data/1856314/000146645326000008/wk-form4_1782434623.xml,59d3992b98be7473dbd4ace950102d1a10c0c1344aaeec47cc8e4f9a353e63ac,parsed,0
"4 - Alclear Investments, LLC (0001869246) (Reporting)",4,2026-06-26 00:42:43,0001856314-26-000024,0001869246,"4 - Alclear Investments, LLC (0001869246) (Reporting)",,,https://www.sec.gov/Archives/edgar/data/1869246/000185631426000024,https://www.sec.gov/Archives/edgar/data/1869246/000185631426000024/0001856314-26-000024-index.htm,False,https://www.sec.gov/Archives/edgar/data/1869246/000185631426000024/wk-form4_1782434556.xml,d49690f12d10046b3dd2f72a63045e08abe41ed9bb747190d59b5c844e3f5df2,parsed,0
