title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag
4 - Thomas Brandi Elizabeth (0001972257) (Reporting),4,2026-08-19 23:42:58,0000950103-26-012669,0001972257,4 - Thomas Brandi Elizabeth (0001972257) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1972257/000095010326012669,https://www.sec.gov/Archives/edgar/data/1972257/000095010326012669/0000950103-26-012669-index.htm,False
4 - Nextpower Inc. (0001852131) (Issuer),4,2026-08-19 23:42:26,0000950103-26-012668,0001852131,4 - Nextpower Inc. (0001852131) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1852131/000095010326012668,https://www.sec.gov/Archives/edgar/data/1852131/000095010326012668/0000950103-26-012668-index.htm,False
4 - Wowk Robert (0002121726) (Reporting),4,2026-08-19 23:42:11,0001437749-26-028583,0002121726,4 - Wowk Robert (0002121726) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2121726/000143774926028583,https://www.sec.gov/Archives/edgar/data/2121726/000143774926028583/0001437749-26-028583-index.htm,False
4 - Menezes Mark (0002073177) (Reporting),4,2026-08-19 23:39:55,0000950103-26-012667,0002073177,4 - Menezes Mark (0002073177) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2073177/000095010326012667,https://www.sec.gov/Archives/edgar/data/2073177/000095010326012667/0000950103-26-012667-index.htm,False
4 - Nextpower Inc. (0001852131) (Issuer),4,2026-08-19 23:39:29,0000950103-26-012666,0001852131,4 - Nextpower Inc. (0001852131) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1852131/000095010326012666,https://www.sec.gov/Archives/edgar/data/1852131/000095010326012666/0000950103-26-012666-index.htm,False
4 - Blunden Julia (0001918769) (Reporting),4,2026-08-19 23:36:20,0000950103-26-012665,0001918769,4 - Blunden Julia (0001918769) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1918769/000095010326012665,https://www.sec.gov/Archives/edgar/data/1918769/000095010326012665/0000950103-26-012665-index.htm,False
4 - Schuppenhauer Eric (0002034857) (Reporting),4,2026-08-19 23:31:56,0002034857-26-000012,0002034857,4 - Schuppenhauer Eric (0002034857) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2034857/000203485726000012,https://www.sec.gov/Archives/edgar/data/2034857/000203485726000012/0002034857-26-000012-index.htm,False
4 - Pinto Arun (0002012135) (Reporting),4,2026-08-19 23:29:50,0002012135-26-000021,0002012135,4 - Pinto Arun (0002012135) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2012135/000201213526000021,https://www.sec.gov/Archives/edgar/data/2012135/000201213526000021/0002012135-26-000021-index.htm,False
4 - Perrill Dave (0002123299) (Reporting),4,2026-08-19 23:23:26,0001062993-26-004525,0002123299,4 - Perrill Dave (0002123299) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2123299/000106299326004525,https://www.sec.gov/Archives/edgar/data/2123299/000106299326004525/0001062993-26-004525-index.htm,False
4 - Narayan Shruthi (0002086163) (Reporting),4,2026-08-19 23:23:17,0002086163-26-000008,0002086163,4 - Narayan Shruthi (0002086163) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2086163/000208616326000008,https://www.sec.gov/Archives/edgar/data/2086163/000208616326000008/0002086163-26-000008-index.htm,False
4 - Scannell Paul (0002031609) (Reporting),4,2026-08-19 23:20:21,0000813672-26-000094,0002031609,4 - Scannell Paul (0002031609) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2031609/000081367226000094,https://www.sec.gov/Archives/edgar/data/2031609/000081367226000094/0000813672-26-000094-index.htm,False
4 - Cunningham Paul (0001847883) (Reporting),4,2026-08-19 23:20:15,0000813672-26-000093,0001847883,4 - Cunningham Paul (0001847883) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1847883/000081367226000093,https://www.sec.gov/Archives/edgar/data/1847883/000081367226000093/0000813672-26-000093-index.htm,False
"4 - Neumora Therapeutics, Inc. (0001885522) (Issuer)",4,2026-08-19 23:17:14,0001610717-26-000362,0001885522,"4 - Neumora Therapeutics, Inc. (0001885522) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1885522/000161071726000362,https://www.sec.gov/Archives/edgar/data/1885522/000161071726000362/0001610717-26-000362-index.htm,False
4 - Kereere Suzan (0001896086) (Reporting),4,2026-08-19 23:10:42,0001896086-26-000012,0001896086,4 - Kereere Suzan (0001896086) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1896086/000189608626000012,https://www.sec.gov/Archives/edgar/data/1896086/000189608626000012/0001896086-26-000012-index.htm,False
4 - Young James Douglas (0001709934) (Reporting),4,2026-08-19 23:04:29,0001709934-26-000015,0001709934,4 - Young James Douglas (0001709934) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1709934/000170993426000015,https://www.sec.gov/Archives/edgar/data/1709934/000170993426000015/0001709934-26-000015-index.htm,False
"4 - Smart Sand, Inc. (0001529628) (Issuer)",4,2026-08-19 23:02:57,0001315758-26-000015,0001529628,"4 - Smart Sand, Inc. (0001529628) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1529628/000131575826000015,https://www.sec.gov/Archives/edgar/data/1529628/000131575826000015/0001315758-26-000015-index.htm,False
4 - Clark Moore (0001554740) (Reporting),4,2026-08-19 23:02:21,0001654954-26-007764,0001554740,4 - Clark Moore (0001554740) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1554740/000165495426007764,https://www.sec.gov/Archives/edgar/data/1554740/000165495426007764/0001654954-26-007764-index.htm,False
4 - Peoples George (0002029803) (Reporting),4,2026-08-19 23:00:15,0001493152-26-039292,0002029803,4 - Peoples George (0002029803) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2029803/000149315226039292,https://www.sec.gov/Archives/edgar/data/2029803/000149315226039292/0001493152-26-039292-index.htm,False
4 - Emmerich Matthew J (0001984721) (Reporting),4,2026-08-19 23:00:14,0001140361-26-033770,0001984721,4 - Emmerich Matthew J (0001984721) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1984721/000114036126033770,https://www.sec.gov/Archives/edgar/data/1984721/000114036126033770/0001140361-26-033770-index.htm,False
4 - Leftwich Scott (0001991668) (Reporting),4,2026-08-19 23:00:13,0001493152-26-039290,0001991668,4 - Leftwich Scott (0001991668) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1991668/000149315226039290,https://www.sec.gov/Archives/edgar/data/1991668/000149315226039290/0001493152-26-039290-index.htm,False
"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",4,2026-08-19 23:00:12,0001493152-26-039291,0001855485,"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039291,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039291/0001493152-26-039291-index.htm,False
"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",4,2026-08-19 23:00:10,0001493152-26-039289,0001855485,"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039289,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039289/0001493152-26-039289-index.htm,False
4 - Mohan Ajit (0002062182) (Reporting),4,2026-08-19 23:00:09,0002062182-26-000008,0002062182,4 - Mohan Ajit (0002062182) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2062182/000206218226000008,https://www.sec.gov/Archives/edgar/data/2062182/000206218226000008/0002062182-26-000008-index.htm,False
"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",4,2026-08-19 23:00:08,0001493152-26-039288,0001855485,"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039288,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039288/0001493152-26-039288-index.htm,False
"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",4,2026-08-19 23:00:07,0001493152-26-039287,0001855485,"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039287,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039287/0001493152-26-039287-index.htm,False
4 - Morrow Rebecca (0001727396) (Reporting),4,2026-08-19 23:00:07,0001727396-26-000009,0001727396,4 - Morrow Rebecca (0001727396) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1727396/000172739626000009,https://www.sec.gov/Archives/edgar/data/1727396/000172739626000009/0001727396-26-000009-index.htm,False
4 - Briers Zachary M (0002096196) (Reporting),4,2026-08-19 23:00:06,0002096196-26-000006,0002096196,4 - Briers Zachary M (0002096196) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2096196/000209619626000006,https://www.sec.gov/Archives/edgar/data/2096196/000209619626000006/0002096196-26-000006-index.htm,False
4 - Fernandez Santidrian Antonio (0001990403) (Reporting),4,2026-08-19 23:00:05,0001493152-26-039286,0001990403,4 - Fernandez Santidrian Antonio (0001990403) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1990403/000149315226039286,https://www.sec.gov/Archives/edgar/data/1990403/000149315226039286/0001493152-26-039286-index.htm,False
4 - Hott Douglas (0002133255) (Reporting),4,2026-08-19 23:00:04,0002133255-26-000016,0002133255,4 - Hott Douglas (0002133255) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2133255/000213325526000016,https://www.sec.gov/Archives/edgar/data/2133255/000213325526000016/0002133255-26-000016-index.htm,False
"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",4,2026-08-19 23:00:03,0001493152-26-039285,0001855485,"4 - Calidi Biotherapeutics, Inc. (0001855485) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039285,https://www.sec.gov/Archives/edgar/data/1855485/000149315226039285/0001493152-26-039285-index.htm,False
4 - Thiel Frederick G (0001567383) (Reporting),4,2026-08-19 23:00:02,0001493152-26-039284,0001567383,4 - Thiel Frederick G (0001567383) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1567383/000149315226039284,https://www.sec.gov/Archives/edgar/data/1567383/000149315226039284/0001493152-26-039284-index.htm,False
4 - Khan Salman Hassan (0001907413) (Reporting),4,2026-08-19 23:00:00,0001493152-26-039283,0001907413,4 - Khan Salman Hassan (0001907413) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1907413/000149315226039283,https://www.sec.gov/Archives/edgar/data/1907413/000149315226039283/0001493152-26-039283-index.htm,False
4 - Horn David R. (0001834217) (Reporting),4,2026-08-19 22:59:21,0001834217-26-000008,0001834217,4 - Horn David R. (0001834217) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1834217/000183421726000008,https://www.sec.gov/Archives/edgar/data/1834217/000183421726000008/0001834217-26-000008-index.htm,False
4 - Robertson Bruce C (0001289625) (Reporting),4,2026-08-19 22:57:50,0001274737-26-000056,0001289625,4 - Robertson Bruce C (0001289625) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1289625/000127473726000056,https://www.sec.gov/Archives/edgar/data/1289625/000127473726000056/0001274737-26-000056-index.htm,False
4 - EXAGEN INC. (0001274737) (Issuer),4,2026-08-19 22:57:14,0001274737-26-000054,0001274737,4 - EXAGEN INC. (0001274737) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1274737/000127473726000054,https://www.sec.gov/Archives/edgar/data/1274737/000127473726000054/0001274737-26-000054-index.htm,False
4 - McEvoy William Patrick III (0002092596) (Reporting),4,2026-08-19 22:56:23,0002092596-26-000002,0002092596,4 - McEvoy William Patrick III (0002092596) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2092596/000209259626000002,https://www.sec.gov/Archives/edgar/data/2092596/000209259626000002/0002092596-26-000002-index.htm,False
"4 - DuPont de Nemours, Inc. (0001666700) (Issuer)",4,2026-08-19 22:56:21,0001628280-26-058089,0001666700,"4 - DuPont de Nemours, Inc. (0001666700) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1666700/000162828026058089,https://www.sec.gov/Archives/edgar/data/1666700/000162828026058089/0001628280-26-058089-index.htm,False
"4 - Winklevoss Capital Management, LLC (0002096657) (Reporting)",4,2026-08-19 22:54:30,0001231919-26-000951,0002096657,"4 - Winklevoss Capital Management, LLC (0002096657) (Reporting)",,,https://www.sec.gov/Archives/edgar/data/2096657/000123191926000951,https://www.sec.gov/Archives/edgar/data/2096657/000123191926000951/0001231919-26-000951-index.htm,False
4 - Blecharczyk Nathan (0001834147) (Reporting),4,2026-08-19 22:53:44,0001193125-26-357265,0001834147,4 - Blecharczyk Nathan (0001834147) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1834147/000119312526357265,https://www.sec.gov/Archives/edgar/data/1834147/000119312526357265/0001193125-26-357265-index.htm,False
4 - Roe Scott A. (0001570308) (Reporting),4,2026-08-19 22:52:51,0001225208-26-007222,0001570308,4 - Roe Scott A. (0001570308) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1570308/000122520826007222,https://www.sec.gov/Archives/edgar/data/1570308/000122520826007222/0001225208-26-007222-index.htm,False
4 - Kulikowsky Denise (0001808278) (Reporting),4,2026-08-19 22:52:50,0001225208-26-007221,0001808278,4 - Kulikowsky Denise (0001808278) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1808278/000122520826007221,https://www.sec.gov/Archives/edgar/data/1808278/000122520826007221/0001225208-26-007221-index.htm,False
4 - Howard David E (0001821332) (Reporting),4,2026-08-19 22:52:48,0001225208-26-007220,0001821332,4 - Howard David E (0001821332) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1821332/000122520826007220,https://www.sec.gov/Archives/edgar/data/1821332/000122520826007220/0001225208-26-007220-index.htm,False
4 - Kahn Todd (0001424688) (Reporting),4,2026-08-19 22:52:47,0001225208-26-007219,0001424688,4 - Kahn Todd (0001424688) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1424688/000122520826007219,https://www.sec.gov/Archives/edgar/data/1424688/000122520826007219/0001225208-26-007219-index.htm,False
4 - Dadlani Manesh (0001816220) (Reporting),4,2026-08-19 22:52:45,0001225208-26-007218,0001816220,4 - Dadlani Manesh (0001816220) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1816220/000122520826007218,https://www.sec.gov/Archives/edgar/data/1816220/000122520826007218/0001225208-26-007218-index.htm,False
4 - Crevoiserat Joanne C. (0001607592) (Reporting),4,2026-08-19 22:52:44,0001225208-26-007217,0001607592,4 - Crevoiserat Joanne C. (0001607592) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1607592/000122520826007217,https://www.sec.gov/Archives/edgar/data/1607592/000122520826007217/0001225208-26-007217-index.htm,False
4 - Morais Mark A. (0001980205) (Reporting),4,2026-08-19 22:51:24,0001965040-26-000134,0001980205,4 - Morais Mark A. (0001980205) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1980205/000196504026000134,https://www.sec.gov/Archives/edgar/data/1980205/000196504026000134/0001965040-26-000134-index.htm,False
4 - Schwab Charles R. (0000923738) (Reporting),4,2026-08-19 22:51:18,0000923738-26-000042,0000923738,4 - Schwab Charles R. (0000923738) (Reporting),,,https://www.sec.gov/Archives/edgar/data/923738/000092373826000042,https://www.sec.gov/Archives/edgar/data/923738/000092373826000042/0000923738-26-000042-index.htm,False
4 - Addis Thomas (0002144468) (Reporting),4,2026-08-19 22:51:16,0002144468-26-000004,0002144468,4 - Addis Thomas (0002144468) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2144468/000214446826000004,https://www.sec.gov/Archives/edgar/data/2144468/000214446826000004/0002144468-26-000004-index.htm,False
4 - Ashish Arora (0001851564) (Reporting),4,2026-08-19 22:49:58,0001851564-26-000032,0001851564,4 - Ashish Arora (0001851564) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1851564/000185156426000032,https://www.sec.gov/Archives/edgar/data/1851564/000185156426000032/0001851564-26-000032-index.htm,False
4 - Ribas Jordi (0002151121) (Reporting),4,2026-08-19 22:49:56,0002151121-26-000004,0002151121,4 - Ribas Jordi (0002151121) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2151121/000215112126000004,https://www.sec.gov/Archives/edgar/data/2151121/000215112126000004/0002151121-26-000004-index.htm,False
4 - Western Asset Diversified Income Fund (WDI) (0001819559) (Issuer),4,2026-08-19 22:46:27,0001662962-26-000004,0001819559,4 - Western Asset Diversified Income Fund (WDI) (0001819559) (Issuer),,,https://www.sec.gov/Archives/edgar/data/1819559/000166296226000004,https://www.sec.gov/Archives/edgar/data/1819559/000166296226000004/0001662962-26-000004-index.htm,False
"4 - Gloo Holdings, Inc. (0002069785) (Issuer)",4,2026-08-19 22:45:24,0000929638-26-003172,0002069785,"4 - Gloo Holdings, Inc. (0002069785) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/2069785/000092963826003172,https://www.sec.gov/Archives/edgar/data/2069785/000092963826003172/0000929638-26-003172-index.htm,False
4 - Hill Emily Luisa (0001778279) (Reporting),4,2026-08-19 22:42:32,0001104659-26-098868,0001778279,4 - Hill Emily Luisa (0001778279) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1778279/000110465926098868,https://www.sec.gov/Archives/edgar/data/1778279/000110465926098868/0001104659-26-098868-index.htm,False
4 - Carrai Phillip D (0001509409) (Reporting),4,2026-08-19 22:42:08,0001509409-26-000010,0001509409,4 - Carrai Phillip D (0001509409) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1509409/000150940926000010,https://www.sec.gov/Archives/edgar/data/1509409/000150940926000010/0001509409-26-000010-index.htm,False
