accepted_at,accession,cik,ticker,amendment,issuer_cik,issuer_name,issuer_trading_symbol,security_title,transaction_date,transaction_code,acquired_disposed_code,shares,price_per_share,purchase_value,reporting_owners,eligible_insider,record_key,filing_datetime,insider_name,company_name,latest_close,high_52w,drawdown_from_52w_high,adv60_dollars,current_market_cap,signal_value_to_adv60,current_price_premium_to_insider_vwap,purchase_to_market_cap,passes_adv60_monitor,passes_adv60_alert,passes_price_premium,monitor_candidate,alert_candidate,research_score,research_tier,score_reasons,score_caveats
2026-06-22 23:16:23,0001104659-26-076532,0002028722,CNTM,False,0001895249,"ConnectM Technology Solutions, Inc.",CNTM,Common Stock,2026-06-11,P,A,2050.0,14280.0,29274000.0,"[{""cik"": ""0002028722"", ""name"": ""Panigrahi Bhaskar"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,360217a0fb7fe81377aa8a77fafd96656bf99e8027caa96c5ada720badb4bce0,2026-06-22 23:16:23,Panigrahi Bhaskar,"ConnectM Technology Solutions, Inc.",8.5,16.0,-0.46875,38065.0583627065,,769.0517566283474,-0.9994047619047619,,True,True,True,True,True,9,ALERT,"[""purchase value >= $2m ($29,274,000)"", ""purchase value / ADV60 >= 5% (76905.2%)"", ""current price below insider VWAP (-99.9%)"", ""stock down at least 30% from 52w high (-46.9%)""]","[""market cap unavailable""]"
2026-06-22 23:16:23,0001104659-26-076532,0002028722,CNTM,False,0001895249,"ConnectM Technology Solutions, Inc.",CNTM,Common Stock,2026-06-10,P,A,1309.0,8887.0,11633083.0,"[{""cik"": ""0002028722"", ""name"": ""Panigrahi Bhaskar"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,e3416520530add1e19e3e579cbfe8b2408cef4eb03cca20655d93d880da2e23d,2026-06-22 23:16:23,Panigrahi Bhaskar,"ConnectM Technology Solutions, Inc.",8.5,16.0,-0.46875,38065.0583627065,,305.6105389134852,-0.9990435467536851,,True,True,True,True,True,9,ALERT,"[""purchase value >= $2m ($11,633,083)"", ""purchase value / ADV60 >= 5% (30561.1%)"", ""current price below insider VWAP (-99.9%)"", ""stock down at least 30% from 52w high (-46.9%)""]","[""market cap unavailable""]"
2026-06-22 23:14:57,0001104659-26-076531,0002028701,CNTM,False,0001895249,"ConnectM Technology Solutions, Inc.",CNTM,Common Stock,2026-06-08,P,A,950.0,6580.0,6251000.0,"[{""cik"": ""0002028701"", ""name"": ""Choudhury Mahesh"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Principal Financial Officer""}]",True,344d40c9a7da4e247019270797486d5d17ab1f0e042ea6a59cba1e9d8a58deef,2026-06-22 23:14:57,Choudhury Mahesh,"ConnectM Technology Solutions, Inc.",8.5,16.0,-0.46875,38065.0583627065,,164.21884712317416,-0.9987082066869301,,True,True,True,True,True,9,ALERT,"[""purchase value >= $2m ($6,251,000)"", ""purchase value / ADV60 >= 5% (16421.9%)"", ""current price below insider VWAP (-99.9%)"", ""stock down at least 30% from 52w high (-46.9%)""]","[""market cap unavailable""]"
2026-06-22 23:14:57,0001104659-26-076531,0002028701,CNTM,False,0001895249,"ConnectM Technology Solutions, Inc.",CNTM,Common Stock,2026-06-18,P,A,600.0,4576.0,2745600.0,"[{""cik"": ""0002028701"", ""name"": ""Choudhury Mahesh"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Principal Financial Officer""}]",True,c345ed64b32891049aeff7d0d38b731b62a0da6ad438a70a716090e28e66d98d,2026-06-22 23:14:57,Choudhury Mahesh,"ConnectM Technology Solutions, Inc.",8.5,16.0,-0.46875,38065.0583627065,,72.1291420031014,-0.9981424825174825,,True,True,True,True,True,9,ALERT,"[""purchase value >= $2m ($2,745,600)"", ""purchase value / ADV60 >= 5% (7212.9%)"", ""current price below insider VWAP (-99.8%)"", ""stock down at least 30% from 52w high (-46.9%)""]","[""market cap unavailable""]"
2026-06-22 23:14:57,0001104659-26-076531,0002028701,CNTM,False,0001895249,"ConnectM Technology Solutions, Inc.",CNTM,Common Stock,2026-06-15,P,A,537.0,3620.0,1943940.0,"[{""cik"": ""0002028701"", ""name"": ""Choudhury Mahesh"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Principal Financial Officer""}]",True,3aef1513f8c54a14da2db41215ac135f1cba1ca7326fa7ef43f0ce79ed8e9e0f,2026-06-22 23:14:57,Choudhury Mahesh,"ConnectM Technology Solutions, Inc.",8.5,16.0,-0.46875,38065.0583627065,,51.06888268702978,-0.9976519337016575,,True,True,True,True,True,8,ALERT,"[""purchase value >= $1m ($1,943,940)"", ""purchase value / ADV60 >= 5% (5106.9%)"", ""current price below insider VWAP (-99.8%)"", ""stock down at least 30% from 52w high (-46.9%)""]","[""market cap unavailable""]"
2026-06-22 23:14:57,0001104659-26-076531,0002028701,CNTM,False,0001895249,"ConnectM Technology Solutions, Inc.",CNTM,Common Stock,2026-06-09,P,A,500.0,3456.0,1728000.0,"[{""cik"": ""0002028701"", ""name"": ""Choudhury Mahesh"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Principal Financial Officer""}]",True,515ee9f58aa24623bffd9078689701c41f00ea929cd9a134af956098fe3686da,2026-06-22 23:14:57,Choudhury Mahesh,"ConnectM Technology Solutions, Inc.",8.5,16.0,-0.46875,38065.0583627065,,45.39596349845544,-0.9975405092592593,,True,True,True,True,True,8,ALERT,"[""purchase value >= $1m ($1,728,000)"", ""purchase value / ADV60 >= 5% (4539.6%)"", ""current price below insider VWAP (-99.8%)"", ""stock down at least 30% from 52w high (-46.9%)""]","[""market cap unavailable""]"
2026-06-22 21:58:09,0001104659-26-076503,0002033991,TVA,False,0002033991,Texas Ventures Acquisition III Corp,TVA,Class A Ordinary Shares,2026-02-27,P,A,125000.0,10.4785,1309812.5,"[{""cik"": ""0001271848"", ""name"": ""ANGELO MARK"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0001463928"", ""name"": ""YA II PN, Ltd."", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,33b09bbd2df848601d8242d4b51985116caa708393a77bd6c2575d8ac2f0ad37,2026-06-22 21:58:09,"ANGELO MARK; YA II PN, Ltd.",Texas Ventures Acquisition III Corp,10.479999542236328,11.649999618530273,-0.10042919438666464,502598.7169647217,,2.606080071016055,0.00014310657406380045,,True,True,True,True,True,6,WATCH,"[""purchase value >= $1m ($1,309,812)"", ""purchase value / ADV60 >= 5% (260.6%)"", ""current price within 15% of insider VWAP (0.0%)""]","[""market cap unavailable""]"
2026-06-22 23:03:05,0001193125-26-277880,0002133946,FCBM,False,0001531193,"First Carolina Financial Services, Inc.",FCBM,Common Stock,2026-06-18,P,A,18750.0,12.5,234375.0,"[{""cik"": ""0002133946"", ""name"": ""Floyd Gregory Everette"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,963dda0dc39b169f07c948ca4058cdca04edd99bdd81720fa0ec90a733e324f3,2026-06-22 23:03:05,Floyd Gregory Everette,"First Carolina Financial Services, Inc.",12.579999923706055,12.600000381469727,-0.0015873378696944496,4991470.020418167,,0.046955105217754055,0.006399993896484268,,True,False,True,True,False,4,WATCH,"[""purchase value >= $100k ($234,375)"", ""purchase value / ADV60 >= 2% (4.7%)"", ""current price within 15% of insider VWAP (0.6%)""]","[""market cap unavailable""]"
2026-06-22 23:03:23,0001193125-26-277884,0001531193,FCBM,False,0001531193,"First Carolina Financial Services, Inc.",FCBM,Common Stock,2026-06-18,P,A,16000.0,12.5,200000.0,"[{""cik"": ""0001193392"", ""name"": ""LUCAS JAMES A JR"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,bec6247c7a4a3c9d29a80c2ff47c270eaf8997589a521fed40145100581b3844,2026-06-22 23:03:23,LUCAS JAMES A JR,"First Carolina Financial Services, Inc.",12.579999923706055,12.600000381469727,-0.0015873378696944496,4991470.020418167,,0.04006835645248346,0.006399993896484268,,True,False,True,True,False,4,WATCH,"[""purchase value >= $100k ($200,000)"", ""purchase value / ADV60 >= 2% (4.0%)"", ""current price within 15% of insider VWAP (0.6%)""]","[""market cap unavailable""]"
2026-06-22 23:03:12,0001193125-26-277881,0002133918,FCBM,False,0001531193,"First Carolina Financial Services, Inc.",FCBM,Common Stock,2026-06-18,P,A,16000.0,12.5,200000.0,"[{""cik"": ""0002133918"", ""name"": ""Gussenhoven John Walter"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,4549c4ff406001f64802ad2a7a2fe701ea3e13760c76b4f7782b8999565af097,2026-06-22 23:03:12,Gussenhoven John Walter,"First Carolina Financial Services, Inc.",12.579999923706055,12.600000381469727,-0.0015873378696944496,4991470.020418167,,0.04006835645248346,0.006399993896484268,,True,False,True,True,False,4,WATCH,"[""purchase value >= $100k ($200,000)"", ""purchase value / ADV60 >= 2% (4.0%)"", ""current price within 15% of insider VWAP (0.6%)""]","[""market cap unavailable""]"
